,actual,predicted,difference
18848,-5.398121726559252,-4.899917442644944,0.4982042839143075
13477,-24.260053018886385,-21.74019878774681,2.5198542311395755
40890,-4.48162931888638,-17.732155211424196,13.250525892537816
57724,-19.765250576559254,-16.860012084439155,2.905238492120098
6328,-8.526671568886375,-10.08114455416788,1.554472985281505
22249,-7.669636076559241,-9.458151652585961,1.78851557602672
16528,-18.03177467655925,-17.336697580758486,0.6950770958007659
29913,-16.413178368886367,-16.735791556227735,0.3226131873413678
35373,-17.447492218886385,-17.886474504952442,0.43898228606605727
5012,-14.519713968886368,-14.437272677077123,0.08244129180924453
39988,-26.11793231888638,-26.050920865933396,0.06701145295298261
56983,-16.94337282655924,-18.69923758526402,1.755864758704778
38554,-11.59498886888638,-12.450029499723058,0.8550406308366778
37837,1.362531006113624,-2.5919759136666287,3.9545069197802527
18496,-2.6785923265592526,-4.684024508221524,2.0054321816622718
43396,-29.440044818886367,-26.858751767830416,2.581293051055951
689,-4.978949226559257,-6.104444820729379,1.125495594170122
5692,-15.114162318886375,-17.256234327621915,2.142072008735539
13090,-15.665131268886372,-14.964505147421482,0.7006261214648895
36111,-18.54038281888637,-17.451537216683956,1.088845602202415
32096,-4.273410168886375,-5.95519854186195,1.681788372975575
10153,-15.61634481888638,-12.305393091196125,3.310951727690256
41063,-14.816210068886368,-12.945499921149441,1.8707101477369275
274,-25.083498818886373,-16.568010487703262,8.51548833118311
12081,-16.937798068886384,-15.614265483812064,1.3235325850743198
5945,-10.78842786888637,-11.06629209051187,0.2778642216255012
58280,-7.076496826559248,-4.259628525382811,2.816868301176437
57449,-39.82387552655925,-41.27136448534336,1.4474889587841133
28187,-12.48919241888638,-14.749366674209302,2.260174255322921
2527,-16.685775918886367,-16.83150318282888,0.14572726394251134
38832,-12.875026768886377,-10.786470840965968,2.0885559279204085
36796,-11.940649768886376,-11.28325490382048,0.6573948650658963
40070,-8.849481268886382,-7.122458840932599,1.7270224279537834
59382,-18.90487532655925,-17.14816202640961,1.756713300149638
27596,-12.585132868886364,-11.580462298428538,1.0046705704578258
38317,-12.598746768886375,-12.424152845825414,0.17459392306096078
8161,-16.833715118886378,-16.220141070551744,0.6135740483346339
60883,-1.4551081265592511,-1.6355919142279756,0.18048378766872442
1736,-16.55857242655925,-17.73794855020389,1.1793761236446372
32592,-15.506459368886372,-11.966043980476648,3.5404153884097234
43212,-29.44851041888637,-22.808466396831896,6.640044022054475
39608,-29.93234941888638,-32.618621122941086,2.6862717040547075
22468,-4.349246976559256,-4.869880232837174,0.5206332562779181
32736,-14.507784418886375,-13.287429284080302,1.2203551348060735
14104,-14.24485921888638,-14.972519622036437,0.7276604031500575
31718,-17.241400968886385,-15.607741487517767,1.6336594813686176
57881,-16.355916426559247,-15.904792753934867,0.45112367262438013
50842,-20.493555876559256,-18.800475889295118,1.693079987264138
48658,-25.970361318886365,-23.902113330396062,2.0682479884903024
26552,-9.57593171888637,-11.16942272922212,1.5934910103357502
34073,-39.45502031888637,-39.74397255538112,0.288952236494751
13552,-16.294344318886377,-16.398447300361983,0.10410298147560582
16617,-15.01914432655924,-15.242375596885191,0.22323127032595025
3647,-10.495576218886388,-9.201093178193796,1.294483040692592
42159,-7.823929918886382,-8.043081232614954,0.2191513137285721
53399,-11.281228068886367,-12.229640770174694,0.9484127012883263
43603,-25.26725211888637,-18.414031352537485,6.853220766348883
59216,-16.524168676559242,-16.539774963422367,0.015606286863125263
18301,-3.7901831265592554,-4.8237807335476095,1.0335976069883541
45726,-8.488886318886376,-10.030487273283564,1.5416009543971878
29819,-13.810789918886377,-14.535341106955304,0.7245511880689275
27379,-13.033224318886372,-12.2341254508401,0.7990988680462721
39361,-13.956413718886385,-10.932645552492533,3.023768166393852
35073,-17.409713518886367,-15.896282207526568,1.513431311359799
31424,-25.968927418886384,-20.831670471484724,5.13725694740166
28032,-9.291567468886374,-10.90688546513518,1.6153179962488053
38432,-14.125110668886382,-16.342696404209295,2.2175857353229134
54035,-7.272950476559258,-7.046289443788167,0.22666103277109073
53996,-16.277398726559255,-16.30952870224422,0.03212997568496334
11482,-18.55444826888638,-20.04312652583151,1.488678256945132
3840,-11.804743518886388,-9.605655432287364,2.1990880865990245
52986,-20.34818551888637,-17.22378693564505,3.1243985832413195
16870,-16.310225026559237,-16.723608932139385,0.41338390558014737
50006,-2.5077528188863702,-3.5470913234469914,1.0393385045606212
30495,-15.87487771888637,-15.66551093368142,0.209366785204951
9851,-15.054091318886382,-15.917729849529739,0.8636385306433567
59233,-16.37782652655926,-16.285305641144483,0.09252088541477832
36847,-12.525286668886384,-13.227670548740798,0.7023838798544144
32366,-13.011583918886377,-13.41829996055517,0.40671604166879405
39742,-21.014533668886376,-18.79172998499782,2.222803683888557
58495,-4.657473976559244,-2.7893626139485397,1.868111362610704
60581,-12.822376576559234,-13.063631983688607,0.24125540712937266
2761,-17.298979968886375,-16.903016512107857,0.3959634567785173
30765,-14.264294268886378,-15.093872768319805,0.8295784994334277
34770,-9.003047318886377,-10.964443562585938,1.9613962436995607
62603,-12.320178076559245,-12.271315385286531,0.04886269127271348
54363,-16.91761817655926,-13.13211190741457,3.7855062691446886
49370,-4.553003468886377,-4.023782981125523,0.5292204877608544
39562,-18.835296218886374,-17.694729404716075,1.140566814170299
26695,-11.238961468886377,-12.595743910849393,1.3567824419630163
41531,-14.237894668886373,-17.13599799316683,2.8981033242804557
18289,-6.471311076559251,-7.333067575013496,0.8617564984542447
50091,-0.5371488188863758,-2.4043103214056014,1.8671615025192256
37513,-8.003944668886373,-9.916139852613643,1.9121951837272704
37195,-13.12327451888638,-13.091002660444069,0.03227185844231073
1570,-22.78671127655926,-23.26233246479689,0.475621188237632
6919,-7.078913168886377,-6.177357033839514,0.9015561350468628
21667,-6.391052276559249,-5.6430980139769416,0.747954262582307
29306,-19.04633866888638,-19.43056071420979,0.3842220453234084
15296,-8.686668026559245,-8.206715150263806,0.4799528762954388
13252,-20.114446818886385,-19.93914696433896,0.17529985454742558
35752,-11.22879041888638,-12.019024993404614,0.7902345745182338
44156,-16.625260918886386,-18.461741768946762,1.8364808500603758
273,-19.70581331888637,-17.26258968255026,2.4432236363361106
23529,-11.151712226559251,-12.753951060619764,1.602238834060513
40417,-8.433746068886375,-8.958534216920903,0.5247881480345278
6288,-13.790037518886368,-13.217101659364875,0.5729358595214933
28751,-14.31804626888638,-14.352766439936296,0.03472017104991565
46120,-15.657011818886364,-10.299465238016383,5.357546580869981
37978,-18.20599726888638,-12.227530458750069,5.978466810136313
29686,-20.034570618886367,-19.218928015657607,0.8156426032287598
30672,-4.818297318886376,-11.459978264024738,6.641680945138361
3707,-5.02401041888638,-6.8560466115704735,1.8320361926840931
10308,-14.470643118886375,-13.890551109521,0.5800920093653748
50745,-7.219411976559256,-6.308129912681372,0.9112820638778834
53154,-20.75230636888637,-21.513516301384453,0.7612099324980832
11756,-15.599639218886384,-16.06312476943931,0.4634855505529245
50265,1.5935386811136176,-1.6850782868201297,3.2786169679337474
43963,-14.98828976888638,-15.687608390633399,0.6993186217470182
50218,-13.86925481888638,-11.238208587858674,2.6310462310277067
31492,-22.08893261888638,-23.17671813203888,1.0877855131525003
40506,-13.64414236888638,-12.464076951133402,1.180065417752978
22598,-11.906664626559246,-10.67951714208355,1.2271474844756955
11890,-23.131785368886373,-22.97391993090147,0.1578654379849027
4057,-8.838269668886372,-8.523695047214847,0.3145746216715253
19185,-7.657998676559243,-6.887423436286512,0.7705752402727315
